cik1	fy1	period1	cik2	fy2	period2	dist
0001281198	2012	20121231	0001136352	2012	20120930	0.41886949802
0001281198	2012	20121231	0001064728	2012	20121231	0.414639562511
0001281198	2012	20121231	0001034842	2012	20121231	0.445781866512
0001281198	2012	20121231	0000098362	2012	20121231	0.392195124018
0001281198	2012	20121231	0001412486	2012	20121231	0.348188088286
0001281198	2012	20121231	0001384072	2012	20121231	0.433489633687
0001281198	2012	20121231	0000068709	2012	20120929	0.435653674182
0001281198	2012	20121231	0000093410	2012	20121231	0.483978027766
0001281198	2012	20121231	0000789868	2012	20121231	0.412250440403
0001281198	2012	20121231	0000836429	2012	20120731	0.371175374793
0001281198	2012	20121231	0001389067	2012	20121231	0.517887425842
0001281198	2012	20121231	0000027748	2012	20120728	0.384460046583
0001281198	2012	20121231	0000746967	2012	20120930	0.5852546776
0001281198	2012	20121231	0001000228	2012	20121229	0.401526671617
0001281198	2012	20121231	0001371217	2012	20121231	0.408280043613
0001281198	2012	20121231	0001117106	2012	20121231	0.406997296604
0001281198	2012	20121231	0000093389	2012	20121231	0.337758744985
0001281198	2012	20121231	0001287808	2012	20121231	0.421196781706
0001281198	2012	20121231	0001125903	2012	20121231	0.519680382165
0001281198	2012	20121231	0001491525	2012	20120331	0.429524076629
0001281198	2012	20121231	0001111817	2012	20120630	0.356427521187
0001281198	2012	20121231	0000825324	2012	20120930	0.409858212786
0001281198	2012	20121231	0001020475	2012	20121231	0.722342657576
0001281198	2012	20121231	0001529293	2012	20120731	0.47474929182
0001281198	2012	20121231	0001551887	2012	20121031	0.425133469011
0001281198	2012	20121231	0001002590	2012	20120930	0.395400313165
0001281198	2012	20121231	0000727510	2012	20121231	0.428240906812
0001281198	2012	20121231	0001510524	2012	20121231	0.440242612561
0001281198	2012	20121231	0001355304	2012	20121231	0.389443649709
0001281198	2012	20121231	0000041719	2012	20121231	0.376981756728
0001281198	2012	20121231	0001005284	2012	20121231	0.394562687132
0001281198	2012	20121231	0001366407	2012	20121231	0.56660751911
0001281198	2012	20121231	0001450708	2012	20121031	0.464470192295
0001281198	2012	20121231	0001530804	2012	20121231	0.435750797474
0001281198	2012	20121231	0000948426	2012	20121231	0.428374091077
0001281198	2012	20121231	0001523733	2012	20121231	0.402561993221
0000780571	2010	20101231	0000031235	2010	20101231	0.392082034925
0000780571	2010	20101231	0001128928	2010	20110101	0.430225473696
0000780571	2010	20101231	0000745732	2010	20110129	0.470477727883
0000780571	2010	20101231	0000931015	2010	20101231	0.389131797569
0000315958	2015	20151231	0001419275	2015	20151231	0.960368187172
0000315958	2015	20151231	0001322952	2015	20151231	0.398453202371
0000315958	2015	20151231	0000102037	2015	20150331	0.392032240014
0000315958	2015	20151231	0001533998	2015	20151231	0.373878319771
0000315958	2015	20151231	0000353020	2015	20151231	0.406005556095
0000315958	2015	20151231	0001567771	2015	20151231	0.375181237431
0000315958	2015	20151231	0000909724	2015	20151231	0.408037191002
0000315958	2015	20151231	0000949157	2015	20151231	0.859403699279
0000315958	2015	20151231	0001351051	2015	20151231	0.374751464026
0000315958	2015	20151231	0001296205	2015	20151231	0.398697468258
0000315958	2015	20151231	0000833640	2015	20151231	0.407492269774
0000315958	2015	20151231	0000887969	2015	20151231	0.392255727275
